Invoice No,Date,Seller Name,Client Name,Seller Tax ID,Seller IBAN,Client Tax ID,Total Amount,Category
94067363,03/21/2017,"Stafford, Reynolds",Vazquez-Tucker Lawrence Cape,976-87-7538,GBO8MGNC49187132488086,930-90-6151,148.44,Other
62517865,06/02/2015,Trujillo-Hunt Mark,Lee and Sons,992-71-8540,GB73HCPH34959888432899,929-86-0601,9.35,Services
52316398,06/03/2012,Moore-Hughes Murray,English Inc Jennifer,921-94-1205,GB97ZSSD06221157837406,923-92-7856,11633.66,Furniture
60416276,04/01/2016,Hodge PLC,Juarez PLC Gill,921-87-3414,GB91GROG44838999022802,996-94-0765,600.15,Clothing
50712639,01/10/2021,"Smith, Blackburn",Harris-Barrera Benjamin Forge,949-87-6355,GB38RUWI118575594469382,963-79-1945,208.50,Clothing
41893391,08/08/2015,Moore and,"Charles, Vazquez and",930-88-0820,GB48YTIM62309578008008,987-79-8047,1438.21,Furniture
45279263,02/18/2013,Anderson Ltd,"Sanchez, Watson and",998-72-0643,GB82WTDO085530084988919,905-82-0106,25.15,Books & Media
12492197,07/05/2020,Holland-Austin Carrie,Evans-Martin Timothy Court,934-97-2041,GB530KXE29036888230337,947-95-5228,1324.32,Electronics
61231490,03/06/2012,Rivers-Martin Franco,Escobar-Johnson Unit Box,912-88-3635,GB57VXVE35992460026374,938-70-2407,181.34,Other
32177071,04/12/2017,Kirby PLC,Nelson Inc Huber,Not Found,GB18WZXQ03291516138063,910-86-0400,103.92,Beverages
77522687,05/14/2019,"Smith, and",Powers LLC Taylor,976-94-0858,GB8OBDW000859966448115,974-81-1540,47502.39,Furniture
52786363,06/11/2011,Thomas-Moore Devin,Villanueva-Gonzalez PSC Box,968-79-0940,GB26DIOX99480612156870,920-75-1593,25.50,Other
22553110,07/26/2011,Evans-Nelson Boyd,Black LLC Cannon,998-82-2041,GB64LGRS58419726002675,954-73-3822,44630.49,Furniture
40046347,07/28/2011,Campos-Cooper Wyatt,Carr and Vazquez,952-75-4009,GB93PRUT68803964166222,969-99-3685,130.83,Clothing
33085665,11/07/2011,Rose-Brown USNS,Mcclain PLC Michele,980-74-6558,GB75DRRS79471384188530,972-85-7292,1023.94,Electronics
29075921,05/24/2021,Rosales-Krause Roberson,May LLC John,906-76-2066,GB95NPAE10217901893022,994-98-7804,21467.33,Furniture
92564069,09/14/2018,"Brown, Werner",Holland PLC Unit,981-90-5351,GB48ONYF55115877897693,965-92-3168,2.18,Clothing
67743685,01/24/2018,"Cooper, Wilson","Reed, Hall and",995-86-7856,GB60PCKC14207144188877,948-94-4060,247.84,Books & Media
74221189,10/26/2015,Perry Inc,Caldwell-Jordan Morris Locks,923-86-7278,GB31MRRO28973280067169,900-75-2035,262.77,Clothing
27166082,09/29/2020,Webb-Oconnor Traci,"Jones, Anderson and",982-76-0500,GB96DQID96493153467773,904-90-0470,15803.26,Furniture
91851148,11/08/2015,"Freeman, Carter",Ryan-Harrison Matthew Valleys,942-70-7601,GB84KJBN36231109439197,Not Found,760.10,Hardware
27006132,09/18/2017,"Vasquez, May","White, Hayes and",909-99-1866,GBO2IHCRO3244622486086,983-83-2285,5289.89,Electronics
83299043,06/24/2019,Clayton Inc,Joseph and Sons,935-86-2933,GB62KIZF24205841215862,952-73-7734,3129.42,Electronics
67095041,12/14/2018,"Wade, Scott","Bernard, Welch and",985-88-4789,GB441JGO64103154190692,905-74-4614,87.96,Beverages
59977720,06/16/2020,Long LLC,"Long, Nguyen and",945-79-5450,GB49QCTC10326503494714,925-70-7011,331.78,Furniture
65863078,03/16/2017,Mejia-Garcia Newton,Mcmahon-Shelton George Club,919-81-5912,GB88WWZI56084991222344,956-90-1949,1843.40,Electronics
32762320,12/04/2016,Harris-Thomas Sara,Santos PLC Chandler,913-87-7604,GB84FANY90473913112199,961-99-8168,129.60,Kitchen
43292704,06/20/2015,Ball-King Alyssa,Stewart-Moyer Jessica Pine,968-86-2606,GB53PJLB26614594763765,934-78-8238,107680.75,Furniture
65123866,11/20/2012,"Potts, Pittman",Garcia-Perkins Gonzalez Junction,970-95-1799,GB55YMCM02538391714621,992-87-3315,913.65,Books & Media
27405523,03/24/2018,"Case, Mccarthy",Peterson-Crane Clark Light,907-70-9786,GB59JWHU25830307756814,927-98-3793,120.62,Clothing
25210895,05/14/2019,Lyons Inc,Watson-Blanchard PSC Box,987-99-8997,GB20VREM81930507643275,992-82-0219,89.06,Clothing
64994538,03/12/2017,Martinez Group,Stanley-Green PSC Box,901-72-6712,GB98UBGW19834215943015,951-78-1287,30210.16,Furniture
90290650,04/24/2018,"Ramirez, Miller","Walker, Patterson and",968-90-0348,GB23WJNU76926092969525,907-90-0883,2843.46,Electronics
37598290,09/04/2016,"Beck, Martin","Kent, Russell and",975-71-1426,GB30LWAS78775539494703,969-90-3717,3255.91,Other
81153047,12/12/2020,"White, Watkins","Sparks, Wang and",924-73-0685,GB43DZX021262972226499,942-71-8958,203.19,Furniture
