File,Invoice ID,Date,Total Amount,Invoice Category
batch1-0001.jpg,51109338,04/13/2013,6204.19,Electronics
batch1-0002.jpg,12847181,03/03/2012,6860.45,Electronics
batch1-0003.jpg,19471831,04/09/2014,44745.59,Electronics
batch1-0004.jpg,16273983,04/01/2017,819.06,Electronics
batch1-0005.jpg,89969473,10/29/2016,797.91,Electronics
batch1-0006.jpg,72128555,12/25/2013,732.34,Electronics
batch1-0007.jpg,11580833,11/24/2019,5138.35,Electronics
batch1-0008.jpg,74589240,12/08/2013,12973.88,Electronics
batch1-0009.jpg,81978187,01/17/2013,124.79,Electronics
batch1-0010.jpg,99314100,06/25/2014,6573.33,Electronics
batch1-0011.jpg,68688408,03/20/2016,91.27,Electronics
batch1-0012.jpg,13407985,11/22/2013,5459.75,Electronics
batch1-0013.jpg,57986024,10/17/2015,237.29,Electronics
batch1-0014.jpg,77596491,01/31/2021,24.95,Electronics
batch1-0015.jpg,46506594,03/12/2012,1469.45,Electronics
batch1-0016.jpg,44456646,03/21/2015,316.10,Electronics
batch1-0017.jpg,98858130,01/28/2021,442.07,Electronics
batch1-0018.jpg,36187296,01/05/2017,518.80,Electronics
batch1-0019.jpg,56908352,01/11/2015,188.11,Electronics
batch1-0020.jpg,15001300,02/18/2014,327.08,Electronics
batch1-0021.jpg,96430839,01/13/2019,4958.16,Electronics
batch1-0022.jpg,37877758,07/02/2014,47320.32,Electronics
batch1-0023.jpg,33102457,09/18/2018,18281.24,Electronics
batch1-0024.jpg,65028137,01/03/2014,98.95,Electronics
batch1-0025.jpg,22083742,03/01/2014,7920.00,Electronics
batch1-0026.jpg,51295021,01/05/2017,9256.59,Electronics
batch1-0027.jpg,44848471,03/26/2021,838.68,Electronics
batch1-0028.jpg,32830026,12/20/2014,1140.24,Electronics
batch1-0029.jpg,54661411,07/29/2020,7920.58,Electronics
batch1-0030.jpg,58379529,05/31/2011,2934.70,Electronics
batch1-0031.jpg,20434959,12/20/2011,29.67,Electronics
batch1-0032.jpg,10942693,06/13/2018,21151.66,Electronics
batch1-0033.jpg,97388190,12/13/2016,329.84,Electronics
batch1-0034.jpg,60456703,09/01/2016,373.98,Electronics
batch1-0035.jpg,78605417,08/07/2017,722.11,Electronics
batch1-0036.jpg,94786467,11/19/2013,8479.08,Electronics
